Name,UserName,Time,Text,Likes,Retweets,TweetURL,UserURL,City,Country
Courtney Milan,courtneymilan,3/19/2022 23:18,"Reducing the energy I use to alter the temperature in my house is a tiny drop in the climate change bucket, but it is going to make a huge difference in my actual life: in the comfort in my home, the amount I pay for energy.
3
19
305",19,305,https://twitter.com/courtneymilan/status/1505322741276110848,https://twitter.com/courtneymilan,0,0
Courtney Milan,courtneymilan,3/19/2022 23:19,"It’s not just about reducing carbon dioxide, either. It’s about reducing the impact of climate change on your life and your wallet.
1
8
225",8,225,https://twitter.com/courtneymilan/status/1505323208702013441,https://twitter.com/courtneymilan,0,0
Deb_Prothero,Deb_Prothero,2/20/2022 21:30,"Replying to 
@munakadri
 and 
@Debalap
#IStandWithTrudeau despite the onslaught of bots promoting negative reaction and CPC demonizing of the action, I remain strongly in support of PM Trudeau. We have to get through this pandemic so we can get to work on climate change and fixing income inequality.
13
5
54",5,54,https://twitter.com/Deb_Prothero/status/1495511210036449283,https://twitter.com/Deb_Prothero,0,0
Peter Fragiskatos,pfragiskatos,4/7/2022 21:45,"From confronting climate change, housing affordability, strengthening national defence and growing our economy, #Budget2022 sets a real foundation for Canada’s future. There’s so much here that will benefit the country and communities like #ldnont. Congratulations, 
@cafreeland
.
5
4
9",4,9,https://twitter.com/pfragiskatos/status/1512184781127266309,https://twitter.com/pfragiskatos,0,0
Climate Brides,ClimateBrides,3/26/2022 23:44," 'Gendered vulnerabilities to climate change: insights from the semi-arid regions of Asia and Africa.' 
@nityarao63
 et al., 2019.

Link: https://tandfonline.com/doi/full/10.1080/17565529.2017.1372266…

#ClimateBridesReads (1/n)
1
4
6",4,6,https://twitter.com/ClimateBrides/status/1507866158267052037,https://twitter.com/ClimateBrides,0,0
,autumntarleton,3/22/2022 22:23,"Replying to 
@HillaryKelly
 and 
@ambernoelle
Agree—and she’s also a kid in year three of a pandemic with climate change breathing down her neck and the palpable anxiety of grownups all around her. Totally normal. So much kindness to you though, mama. It’s rough out here doing pandemic parenting.
21",,21,https://twitter.com/autumntarleton/status/1506396189717147657,https://twitter.com/autumntarleton,0,0
New York Times World,nytimesworld,2/20/2022 21:40,"In a city in northeastern Syria, climate change can be seen in the city’s daily bread.
nytimes.com
Conflict and Climate Change Ravage Syria’s Agricultural Heartland
Drought and a decade of war have brought failing crops and poverty to a region once known as Syria’s breadbasket. Even the bread has changed.
3
5
13",5,13,https://twitter.com/nytimesworld/status/1495513616698777610,https://twitter.com/nytimesworld,0,0
Ginger ‘Peter’ Gorman,GingerGorman,3/1/2022 22:57,"The media is calling this NSW/Qld disaster a “one in 1000-year” flood.

But is it really? Because climate change will make extreme weather events like this far more common.
8
1
28",1,28,https://twitter.com/GingerGorman/status/1498794703978110982,https://twitter.com/GingerGorman,0,0
Ginger ‘Peter’ Gorman,GingerGorman,4/11/2022 22:49,"Seriously. It’s time for us all to stand up and be counted. 

Ignore the ludicrous game that both journalists and politicians play equally. 

Choose a leader who will make society fairer + act rapidly on climate change so that our kids still have an inhabitable planet.
Quote Tweet
Ginger ‘Peter’ Gorman
@GingerGorman
 · Apr 12
Does anyone really think a politician’s ability to name the cash rate + the national jobless figure is a true indication of their ability to lead?

What about kindness, courage, willingness to take action? 

This kind of ‘journalism’ is about the game. Not what’s best for humans
Show this thread
1
3
9",3,9,https://twitter.com/GingerGorman/status/1513650438691643393,https://twitter.com/GingerGorman,0,0
New York Times Opinion,nytopinion,4/25/2022 23:00,"According to the Yale Program on Climate Change Communication, 72% of Americans believe the planet is warming. 77% support research into renewable energy, and 77% believe that children should be taught about climate change in school, writes 
@MargaretRenkl
.
nytimes.com
Opinion | The Second Coming of the Lord God Bird
New life is everywhere, renewing itself among us, reminding us not to give up.
2
6
9",6,9,https://twitter.com/nytopinion/status/1518726711629815813,https://twitter.com/nytopinion,0,0
